,Date,Country,Activity
0,2018,USA,Water sports
1,2018,USA,Others
2,2018,USA,Water sports
3,2018,AUSTRALIA,Water sports
4,2018,MEXICO,Water sports
5,2018,AUSTRALIA,Water sports
6,2018,BRAZIL,Water sports
7,2018,USA,Others
8,2018,USA,Others
9,2018,USA,Others
10,2018,AUSTRALIA,Others
11,2018,USA,Water sports
12,2018,USA,Water sports
13,2018,ENGLAND,Others
14,2018,AUSTRALIA,Others
15,2018,SOUTH AFRICA,Water sports
16,2018,AUSTRALIA,Water sports
17,2018,THAILAND,Water sports
18,2018,COSTA RICA,Water sports
19,2018,AUSTRALIA,Water sports
20,2018,AUSTRALIA,Water sports
21,2018,AUSTRALIA,Water sports
22,2018,AUSTRALIA,Water sports
23,2018,MALDIVES,Others
24,2018,SOUTH AFRICA,Water sports
25,2018,USA,Water sports
26,2018,THAILAND,Water sports
27,2018,BRAZIL,Water sports
28,2018,AUSTRALIA,Water sports
29,2018,AUSTRALIA,Water sports
30,2018,BAHAMAS,Water sports
31,2018,BRAZIL,Others
32,2018,NEW CALEDONIA,Water sports
33,2018,BAHAMAS,Water sports
34,2018,SOUTH AFRICA,Water sports
35,2018,USA,Water sports
36,2018,AUSTRALIA,Others
37,2018,AUSTRALIA,Water sports
38,2018,AUSTRALIA,Water sports
39,2018,SOUTH AFRICA,Water sports
40,2018,AUSTRALIA,Water sports
41,2018,AUSTRALIA,Water sports
42,2018,AUSTRALIA,Others
43,2018,AUSTRALIA,Water sports
44,2018,BRAZIL,Others
45,2018,ECUADOR,Water sports
46,2018,AUSTRALIA,Others
47,2018,AUSTRALIA,Others
48,2018,NEW CALEDONIA,Others
49,2018,AUSTRALIA,Water sports
50,2018,AUSTRALIA,Water sports
51,2018,BRAZIL,Water sports
52,2018,AUSTRALIA,Water sports
53,2017,USA,Water sports
54,2017,USA,Water sports
55,2017,MALAYSIA,Others
56,2017,BAHAMAS,Water sports
57,2017,COSTA RICA,Water sports
58,2017,COSTA RICA,Water sports
59,2017,LIBYA,Others
60,2017,USA,Others
61,2017,USA,Water sports
62,2017,,Water sports
63,2017,AUSTRALIA,Water sports
64,2017,CUBA,Others
65,2017,AUSTRALIA,Water sports
66,2017,AUSTRALIA,Water sports
67,2017,USA,Water sports
68,2017,MAURITIUS,Water sports
69,2017,USA,Water sports
70,2017,USA,Water sports
71,2017,AUSTRALIA,Water sports
72,2017,NEW ZEALAND,Water sports
73,2017,USA,Water sports
74,2017,USA,Water sports
75,2017,USA,Water sports
76,2017,SOUTH AFRICA,Water sports
77,2017,USA,Water sports
78,2017,AUSTRALIA,Water sports
79,2017,USA,Water sports
80,2017,USA,Water sports
81,2017,USA,Water sports
82,2017,SPAIN,Water sports
83,2017,USA,Water sports
84,2017,SOUTH AFRICA,Water sports
85,2017,SAMOA,Others
86,2017,AUSTRALIA,Others
87,2017,USA,Water sports
88,2017,AUSTRALIA,Water sports
89,2017,AUSTRALIA,Water sports
90,2017,SOLOMON ISLANDS,Others
91,2017,SOUTH AFRICA,Water sports
92,2017,JAPAN,Water sports
93,2017,USA,Water sports
94,2017,USA,Water sports
95,2017,USA,Water sports
96,2017,AUSTRALIA,Water sports
97,2017,USA,Others
98,2017,SPAIN,Water sports
99,2017,NEW ZEALAND,Water sports
100,2017,USA,Others
101,2017,BAHAMAS,Others
102,2017,USA,Water sports
103,2017,EGYPT,Water sports
104,2017,USA,Others
105,2017,USA,Water sports
106,2017,USA,Water sports
107,2017,USA,Water sports
108,2017,USA,Others
109,2017,BAHAMAS,Water sports
110,2017,BAHAMAS,Others
111,2017,"ST HELENA, British overseas territory",Water sports
112,2017,USA,Others
113,2017,SPAIN,Water sports
114,2017,USA,Others
115,2017,USA,Water sports
116,2017,USA,Water sports
117,2017,USA,Others
118,2017,USA,Water sports
119,2017,AUSTRALIA,Water sports
120,2017,USA,Water sports
121,2017,USA,Water sports
122,2017,MEXICO,Others
123,2017,SOUTH AFRICA,Water sports
124,2017,COMOROS,Others
125,2017,USA,Others
126,2017,USA,Water sports
127,2017,USA,Water sports
128,2017,USA,Water sports
129,2017,REUNION,Water sports
130,2017,SPAIN,Water sports
131,2017,FRENCH POLYNESIA,Water sports
132,2017,BAHAMAS,Others
133,2017,AUSTRALIA,Water sports
134,2017,AUSTRALIA,Water sports
135,2017,USA,Water sports
136,2017,UNITED KINGDOM,Water sports
137,2017,USA,Others
138,2017,BAHAMAS,Water sports
139,2017,USA,Others
140,2017,USA,Others
141,2017,AUSTRALIA,Others
142,2017,UNITED ARAB EMIRATES,Others
143,2017,AUSTRALIA,Others
144,2017,MEXICO,Water sports
145,2017,USA,Water sports
146,2017,USA,Water sports
147,2017,SOUTH AFRICA,Water sports
148,2017,USA,Water sports
149,2017,REUNION,Water sports
150,2017,NEW ZEALAND,Water sports
151,2017,USA,Others
152,2017,"ST HELENA, British overseas territory",Water sports
153,2017,USA,Water sports
154,2017,USA,Others
155,2017,AUSTRALIA,Water sports
156,2017,USA,Water sports
157,2017,USA,Water sports
158,2017,USA,Water sports
159,2017,SOUTH AFRICA,Water sports
160,2017,USA,Water sports
161,2017,USA,Water sports
162,2017,USA,Water sports
163,2017,USA,Water sports
164,2017,USA,Water sports
165,2017,AUSTRALIA,Others
166,2017,USA,Water sports
167,2017,USA,Water sports
168,2017,AUSTRALIA,Water sports
169,2017,USA,Water sports
170,2017,PHILIPPINES,Others
171,2017,BAHAMAS,Others
172,2017,AUSTRALIA,Water sports
173,2017,AUSTRALIA,Water sports
174,2017,REUNION,Water sports
175,2017,AUSTRALIA,Others
176,2017,USA,Water sports
177,2017,BRAZIL,Others
178,2017,SOUTH AFRICA,Water sports
179,2017,USA,Others
180,2017,BAHAMAS,Water sports
181,2017,BRAZIL,Water sports
182,2017,USA,Others
183,2017,AUSTRALIA,Water sports
184,2017,AUSTRALIA,Water sports
185,2017,USA,Others
186,2017,INDONESIA,Water sports
187,2017,AUSTRALIA,Others
188,2017,USA,Others
189,2017,AUSTRALIA,Others
190,2016,USA,Water sports
191,2016,AUSTRALIA,Water sports
192,2016,SOUTH AFRICA,Water sports
193,2016,AUSTRALIA,Water sports
194,2016,FRENCH POLYNESIA,Others
195,2016,USA,Water sports
196,2016,AUSTRALIA,Water sports
197,2016,AUSTRALIA,Water sports
198,2016,AUSTRALIA,Others
199,2016,USA,Others
200,2016,USA,Water sports
201,2016,USA,Water sports
202,2016,AUSTRALIA,Water sports
203,2016,USA,Water sports
